REGISTRO,nome,preco
1003300280041,PLAMET,"458,10"
1003300280122,PLAMET,"58,22"
1003300280130,PLAMET,"38,31"
1003300290033,SUMAX,"64,10"
1003300290144,SUMAX,"32,43"
1003300290179,SUMAX,"192,31"
1003300290187,SUMAX,"97,31"
1003300420013,ANSITEC,"31,27"
1003300420021,ANSITEC,"56,09"
1003300420031,ANSITEC,"93,81"
1003300420048,ANSITEC,"140,73"
1003300420056,ANSITEC,"168,30"
1003300420064,ANSITEC,"252,43"
1003300420072,ANSITEC,"12,51"
1003300450052,CALTREN,"65,43"
1003300450060,CALTREN,"123,81"
1003300540027,VEROTINA,"108,01"
1003300540061,VEROTINA,"71,94"
1003300580061,SENSITRAM,"170,55"
1003300660014,CARDILOL,"60,74"
1003300660065,CARDILOL,"37,37"
1003300660081,CARDILOL,"37,37"
1003300660103,CARDILOL,"37,37"
1003300660189,CARDILOL,"70,50"
1003300660197,CARDILOL,"70,50"
1003300660200,CARDILOL,"91,81"
1003300670079,SELIMAX,"65,22"
1003300840012,DIMINUT,"38,76"
1003300840039,DIMINUT,"103,32"
1003300860080,NAPRIX,"67,21"
1003300860102,NAPRIX,"67,21"
1003300860129,NAPRIX,"67,21"
1003300860153,NAPRIX,"201,67"
1003300860171,NAPRIX,"201,67"
1003300860196,NAPRIX,"201,67"
1003300870019,LIBIAM,"84,55"
1003300870043,LIBIAM,"253,65"
1003300900023,CEBRILIN,"187,49"
1003300900031,CEBRILIN,"170,26"
1003300960204,NAPRIX A,"60,65"
1003300960239,NAPRIX A,"60,65"
1003300960263,NAPRIX A,"60,65"
1003300960271,NAPRIX A,"60,65"
1003300980019,MINIAN,"35,21"
1003300980027,MINIAN,"93,94"
1003301010021,CEBRALAT,"29,68"
1003301010031,CEBRALAT,"35,67"
1003301010048,CEBRALAT,"29,28"
1003301010056,CEBRALAT,"58,56"
1003301010064,CEBRALAT,"71,60"
1003301010072,CEBRALAT,"94,99"
1003301010080,CEBRALAT,"203,90"
1003301020019,SIBLIMA,"35,22"
1003301020051,SIBLIMA,"94,01"
1003301030014,NATIFA,"57,54"
1003301040011,PLURAIR,"40,67"
1003301040028,PLURAIR,"64,12"
1003301060010,NATIFA PRO,"75,08"
1003301070016,PROCIMAX,"35,56"
1003301070032,PROCIMAX,"76,32"
1003301070067,PROCIMAX,"146,36"
1003301110018,ZETRON,"141,12"
1003301110077,ZETRON,"53,06"
1003301110085,ZETRON,"159,19"
1003301110093,ZETRON,"318,36"
1003301110115,ZETRON,"403,30"
1003301110123,ZETRON,"806,61"
1003301140022,TOPISON,"64,28"
1003301140030,TOPISON,"64,28"
1003301140049,TOPISON,"64,28"
1003301140057,TOPISON,"64,28"
1003301140065,TOPISON,"32,10"
1003301140103,TOPISON,"449,87"
1003301240019,ELANI,"73,26"
1003301240027,ELANI,"195,02"
1003301250014,POZATO UNI,"30,46"
1003301260028,MAXIDRATE,"30,29"
1003301260044,MAXIDRATE,"40,40"
1003301260052,MAXIDRATE,"13,50"
1003301260060,MAXIDRATE,"6,73"
1003301270015,CEBRILIN,"84,77"
1003301280010,LIBIAM,"53,46"
1003301280029,LIBIAM,"160,36"
1003301310017,MUVINLAX,"39,71"
1003301310076,MUVINLAX,"19,84"
1003301440018,ELANI CICLO,"54,91"
1003301440026,ELANI CICLO,"146,15"
1003301450021,STAVIGILE,"262,76"
1003301450031,STAVIGILE,"43,75"
1003301450048,STAVIGILE,"131,37"
1003301530025,ANASTROLIBBS,"1069,53"
1003301540012,IUMI,"58,08"
1003301540020,IUMI,"154,56"
1003301540039,IUMI,"69,27"
1003301540047,IUMI,"138,58"
1003301540055,IUMI,"207,85"
1003301540063,IUMI,"277,12"
1003301550018,TEGAN,"183,61"
1003301560013,RECONTER,"44,43"
1003301560021,RECONTER,"114,55"
1003301560031,RECONTER,"193,57"
1003301560056,RECONTER,"42,94"
1003301560064,RECONTER,"128,86"
1003301560072,RECONTER,"87,02"
1003301560080,RECONTER,"174,10"
1003301560099,RECONTER,"174,10"
1003301560102,RECONTER,"387,18"
1003301560110,RECONTER,"257,65"
1003301560129,RECONTER,"87,02"
1003301560145,RECONTER,"174,10"
1003301560153,RECONTER,"96,78"
1003301580022,ÉGIDE,"68,80"
1003301580049,ÉGIDE,"136,61"
1003301580065,ÉGIDE,"287,60"
1003301580073,ÉGIDE,"11,45"
1003301580081,ÉGIDE,"23,46"
1003301590028,ZIDER,"102,19"
1003301590036,ZIDER,"204,55"
1003301590044,ZIDER,"50,57"
1003301590052,ZIDER,"232,37"
1003301600015,TARFIC,"1494,97"
1003301600023,TARFIC,"3366,98"
1003301600031,TARFIC,"85,88"
1003301600041,TARFIC,"228,09"
1003301600058,TARFIC,"80,65"
1003301600066,TARFIC,"217,83"
1003301620016,ANCORON,"69,18"
1003301630011,SUMAX,"32,43"
1003301630021,SUMAX,"66,50"
1003301630038,SUMAX,"65,40"
1003301630046,SUMAX,"45,90"
1003301650012,STANGLIT,"40,78"
1003301650020,STANGLIT,"81,56"
1003301650039,STANGLIT,"54,41"
1003301650047,STANGLIT,"108,80"
1003301650055,STANGLIT,"190,51"
1003301650063,STANGLIT,"163,13"
1003301650071,STANGLIT,"217,61"
1003301650081,STANGLIT,"381,06"
1003301670013,VELIJA,"78,62"
1003301670021,VELIJA,"157,17"
1003301670031,VELIJA,"26,18"
1003301670048,VELIJA,"314,35"
1003301670056,VELIJA,"157,24"
1003301700011,PLENANCE,"79,50"
1003301700044,PLENANCE,"132,48"
1003301700079,PLENANCE,"29,29"
1003301700095,PLENANCE,"173,58"
1003301700109,PLENANCE,"395,72"
1003301700117,PLENANCE,"12,51"
1003301700125,PLENANCE,"37,52"
1003301700133,PLENANCE,"75,08"
1003301700141,PLENANCE,"112,64"
1003301710015,NACTALI,"38,72"
1003301710023,NACTALI,"105,74"
1003301740021,FINALOP,"68,20"
1003301760012,SUMAXPRO,"34,96"
1003301760020,SUMAXPRO,"57,00"
1003301770018,CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA,"102,85"
1003301770026,CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA,"205,75"
1003301770034,CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA,"102,85"
1003301770042,CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA,"205,75"
1003301780025,NAPRIX D,"72,26"
1003301780048,NAPRIX D,"59,25"
1003301780056,NAPRIX D,"59,25"
1003301790019,BROMIDRATO DE GALANTAMINA,"128,29"
1003301790027,BROMIDRATO DE GALANTAMINA,"384,89"
1003301790035,BROMIDRATO DE GALANTAMINA,"442,96"
1003301790043,BROMIDRATO DE GALANTAMINA,"476,31"
1003301790051,BROMIDRATO DE GALANTAMINA,"80,85"
1003301790061,BROMIDRATO DE GALANTAMINA,"692,98"
1003301790078,BROMIDRATO DE GALANTAMINA,"606,91"
1003301790086,BROMIDRATO DE GALANTAMINA,"652,58"
1003301810011,COGLIVE,"61,71"
1003301810028,COGLIVE,"185,27"
1003301810036,COGLIVE,"205,87"
1003301810044,COGLIVE,"226,44"
1003301810052,COGLIVE,"43,22"
1003301810060,COGLIVE,"370,59"
1003301810079,COGLIVE,"411,70"
1003301810087,COGLIVE,"452,90"
1003301820015,VENZER HCT,"73,24"
1003301820023,VENZER HCT,"205,75"
1003301820031,VENZER HCT,"73,24"
1003301820041,VENZER HCT,"205,75"
1003301840016,VATIS,"24,47"
1003301840024,VATIS,"34,62"
1003301840032,VATIS,"69,30"
1003301840040,VATIS,"103,93"
1003301970017,VENZER,"68,72"
1003301970033,VENZER,"68,72"
1003301970051,VENZER,"74,35"
1003301980012,OSYS,"1808,65"
1003301980020,OSYS,"2712,99"
1003301980039,OSYS,"3617,31"
1003302030018,ZOSTIDE,"15096,52"
1003302040013,TEORO,"3219,28"
1003302060014,EBATZ,"42,16"
1003302060022,EBATZ,"126,53"
1003302060030,EBATZ,"250,41"
1003302060049,EBATZ,"375,62"
1003302060057,EBATZ,"76,48"
1003302060065,EBATZ,"229,42"
1003302060073,EBATZ,"458,43"
1003302060081,EBATZ,"687,65"
1003302070011,VATIS,"34,63"
1003302070028,VATIS,"69,27"
1003302070036,VATIS,"138,53"
1003302070044,VATIS,"207,81"
1003302070052,VATIS,"23,09"
1003302080015,QUENZOR,"18,07"
1003302080023,QUENZOR,"27,08"
1003302080031,QUENZOR,"54,21"
1003302080041,QUENZOR,"81,29"
1003302080058,QUENZOR,"36,12"
1003302080066,QUENZOR,"54,21"
1003302080074,QUENZOR,"108,38"
1003302080082,QUENZOR,"162,60"
1003302080090,QUENZOR,"58,34"
1003302080104,QUENZOR,"87,52"
1003302080112,QUENZOR,"175,02"
1003302080120,QUENZOR,"262,54"
1003302090010,IZIZ,"46,50"
1003302090029,IZIZ,"142,84"
1003302100016,PLENANCE EZE,"132,86"
1003302100032,PLENANCE EZE,"394,06"
1003302100040,PLENANCE EZE,"135,15"
1003302100067,PLENANCE EZE,"396,34"
1003302100075,PLENANCE EZE,"139,73"
1003302100091,PLENANCE EZE,"400,90"
1003302110011,NATIFA PRO UBD,"75,08"
1003302110021,NATIFA PRO UBD,"225,24"
1003302120017,CECI,"109,89"
1003302120025,CECI,"329,67"
1003302130012,GLINK,"247,38"
1003302130020,GLINK,"494,75"
1003302130039,GLINK,"742,12"
1003302150013,VOEXTOR,"111,76"
1003302150021,VOEXTOR,"223,51"
1003302150031,VOEXTOR,"223,58"
1003302150048,VOEXTOR,"447,16"
1003302150056,VOEXTOR,"894,33"
1003302160019,ZIDER,"101,98"
1003302160027,ZIDER,"203,98"
1003302170014,LAKOS,"74,14"
1003302170022,LAKOS,"148,27"
1003302170030,LAKOS,"296,56"
1003302170049,LAKOS,"296,84"
1003302170057,LAKOS,"593,71"
1003302170065,LAKOS,"1187,41"
1003302170073,LAKOS,"445,31"
1003302170081,LAKOS,"890,63"
1003302170091,LAKOS,"1781,26"
1003302170103,LAKOS,"579,62"
1003302170111,LAKOS,"1159,25"
1003302170121,LAKOS,"1950,19"
1003302180028,GLINK MET,"244,12"
1003302180036,GLINK MET,"81,37"
1003302180044,GLINK MET,"244,12"
1003302180052,GLINK MET,"244,12"
1003302190015,RECONTER ODT,"31,92"
1003302190023,RECONTER ODT,"95,78"
1003302190031,RECONTER ODT,"191,56"
1003302190041,RECONTER ODT,"42,95"
1003302190058,RECONTER ODT,"128,83"
1003302190066,RECONTER ODT,"257,66"
1003302190074,RECONTER ODT,"193,58"
1003302190082,RECONTER ODT,"387,15"
1003800380010,PETIVIT -BC,"34,73"
1003800380029,PETIVIT -BC,"21,61"
1003800390016,TYFLEN,"8,69"
1003800390024,TYFLEN,"10,76"
1003800390032,TYFLEN,"75,03"
1003800390059,TYFLEN,"97,74"
1003800390075,TYFLEN,"24,08"
1003800390083,TYFLEN,"18,19"
1003800390091,TYFLEN,"9,50"
1003800400021,CONAZOL,"16,25"
1003800400038,CONAZOL,"40,74"
1003800430034,SALICETIL,"90,54"
1003800430042,SALICETIL,"39,32"
1003800480074,AMBROL,"26,08"
1003800480082,AMBROL,"17,85"
1003800690036,GRIPALCÊ,"197,37"
1003800690052,GRIPALCÊ,"19,75"
1003800690060,GRIPALCÊ,"10,55"
1003800690087,GRIPALCÊ,"105,49"
1003800940016,CLORIDRATO DE CIPROFLOXACINO,"42,92"
1003800950011,CIFLOXATIL,"48,63"
1003800960017,SECTIL,"23,34"
1003800960025,SECTIL,"45,78"
1003800970012,SECNIDAZOL,"18,36"
1003800970020,SECNIDAZOL,"31,20"
1003800980018,CAPTOPRIL,"15,47"
1003801010047,AMOXICILINA + CLAVULANATO DE POTÁSSIO,"157,39"
1003801010055,AMOXICILINA + CLAVULANATO DE POTÁSSIO,"229,89"
1003801020018,AMOXICILINA + CLAVULANATO DE POTÁSSIO,"99,33"
1003801030013,ZILARICINA,"29,34"
1003801030021,ZILARICINA,"44,03"
1003801030031,ZILARICINA,"88,03"
1003801040019,HEVELAIR,"45,07"
1003801040035,HEVELAIR,"45,07"
1003801050014,PHITOSS,"29,00"
1003801050022,PHITOSS,"57,98"
1003801050030,PHITOSS,"25,61"
1003801060011,DEFULL,"28,67"
1003801060028,DEFULL,"49,74"
1003801060036,DEFULL,"92,51"
1003801060044,DEFULL,"138,77"
1003801060052,DEFULL,"312,19"
1003801060060,DEFULL,"20,00"
1003801060079,DEFULL,"40,00"
1003801060087,DEFULL,"50,02"
1003801060095,DEFULL,"54,24"
1003801060109,DEFULL,"94,52"
1003801060117,DEFULL,"28,57"
1003801060125,DEFULL,"57,16"
1003801060133,DEFULL,"71,43"
1003801060141,DEFULL,"84,58"
1003801060151,DEFULL,"147,76"
1003801060168,DEFULL,"92,49"
1003801060176,DEFULL,"157,25"
1003801060184,DEFULL,"167,05"
1003801060192,DEFULL,"179,70"
1003801060206,DEFULL,"315,75"
1003801070015,GINKGO BILOBA BRASTERAPICA,"46,52"
1003801070023,GINKGO BILOBA BRASTERAPICA,"59,31"
1003801100054,GRIPALCÊ UNO,"28,52"
1003801100062,GRIPALCÊ UNO,"21,52"
1003801100070,GRIPALCÊ UNO,"15,55"
1003801110051,PARACETAMOL,"23,96"
1003801110068,PARACETAMOL,"17,09"
1003801110076,PARACETAMOL,"15,40"
1003801120012,CETOCONAZOL-MICRONIZADO,"11,83"
1004101670018,IDACIO,"2082,84"
1004101670026,IDACIO,"4165,71"
1004101670034,IDACIO,"4165,71"
1004101970021,CORTICOIDEX,"656,31"
1004102070022,MEROPENEM,"1644,19"
1004102070049,MEROPENEM,"2263,75"
1004102220016,TIOCOLCHICOSÍDEO,"81,83"
1004102240017,BESILATO DE ATRACÚRIO,"497,20"
1004102240025,BESILATO DE ATRACÚRIO,"994,40"
1004199230011,KETOSTERIL,"565,68"
1004199230046,KETOSTERIL,"135,65"
1004199420023,OMEGAVEN,"1461,34"
1004300260103,PANTOPRAZOL,"5043,39"
1004300360051,NOEX,"35,13"
1004300360061,NOEX,"61,12"
1004300360078,NOEX,"62,14"
1004300360086,NOEX,"61,12"
1004300370014,MELOXICAM,"41,72"
1004300390015,MELOXICAM,"21,39"
1004300390023,MELOXICAM,"26,22"
1004300410067,ALPRAZOLAM,"44,60"
1004305170021,FLUXENE,"45,66"
1004305170031,FLUXENE,"91,27"
1004305170056,FLUXENE,"19,99"
1004305170064,FLUXENE,"47,75"
1004305170153,FLUXENE,"124,83"
1004305180035,CARBOLITIUM,"19,46"
1004305180061,CARBOLITIUM,"58,41"
1004305180078,CARBOLITIUM,"20,92"
1004305180086,CARBOLITIUM,"50,29"
1004305180094,CARBOLITIUM,"41,94"
1004305180132,CARBOLITIUM,"75,40"
1004305180159,CARBOLITIUM,"116,82"
1004305180167,CARBOLITIUM,"175,21"
1004305180175,CARBOLITIUM,"12,54"
1004305180191,CARBOLITIUM,"29,20"
1004305500013,DEXALGEN,"48,78"
1004305500021,DEXALGEN,"15,57"
1004305980041,SELENE,"27,93"
1004305980058,SELENE,"57,68"
1004306340257,PANTOCAL,"46,69"
1004306340265,PANTOCAL,"90,56"
1004306340273,PANTOCAL,"44,86"
1004306340281,PANTOCAL,"83,06"
1004306340291,PANTOCAL,"159,70"
1004306370024,PONDERA,"167,30"
1004306370040,PONDERA,"65,06"
1004306370113,PONDERA,"256,19"
1004306370156,PONDERA,"27,88"
1004306370164,PONDERA,"227,87"
1004306370172,PONDERA,"55,68"
1004306450036,PERCOF,"35,24"
1004306520018,TÂMISA,"30,07"
1004306520026,TÂMISA,"30,07"
1004306520034,TÂMISA,"71,49"
1004306520042,TÂMISA,"71,49"
1004306520050,TÂMISA,"30,07"
1004306520069,TÂMISA,"71,49"
1004306520077,TÂMISA,"39,05"
1004306520085,TÂMISA,"95,32"
1004306710011,TAMIRAM,"96,69"
1004306710046,TAMIRAM,"138,08"
1004306710054,TAMIRAM,"41,47"
1004306850018,PEN-VE-ORAL,"25,31"
1004306850034,PEN-VE-ORAL,"26,92"
1004306860064,BENZETACIL,"810,66"
1004306860110,BENZETACIL,"162,13"
1004306860153,BENZETACIL,"16,22"
1004306870116,AMPLACILINA,"29,10"
1004306900041,REHIDRAT,"27,27"
1004306900163,REHIDRAT,"27,85"
1004306900211,REHIDRAT,"34,88"
1004306960050,SIMECO PLUS,"46,92"
1004306960107,SIMECO PLUS,"11,70"
1004307100012,CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA,"24,52"
1004307100020,CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA,"36,87"
1004307100039,CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA,"165,95"
1004307270023,AMOXICILINA,"26,93"
1004307270031,AMOXICILINA,"42,37"
1004307270058,AMOXICILINA,"40,62"
1004307280010,AMOXICILINA,"23,67"
1004307280029,AMOXICILINA,"40,71"
1004307280037,AMOXICILINA,"32,36"
1004307330018,CEFADROXILA,"50,68"
1004307420017,CEFALEXINA,"50,57"
1004307440077,CLORIDRATO DE SERTRALINA,"104,08"
1004307440093,CLORIDRATO DE SERTRALINA,"164,54"
1004307440141,CLORIDRATO DE SERTRALINA,"61,01"
1004307550026,AMPICILINA,"29,10"
1004307570191,TENOXICAM,"571,72"
1004307600015,EBASTEL,"56,56"
1004307600031,EBASTEL,"58,00"
1004307600058,EBASTEL,"159,12"
1004307710015,ACETILCISTEÍNA,"31,11"
1004307710023,ACETILCISTEÍNA,"35,13"
1004307720010,ACETILCISTEINA,"27,85"
1004307720029,ACETILCISTEINA,"31,10"
1004307720037,ACETILCISTEINA,"69,21"
1004307850011,ACEBROFILINA,"23,63"
1004307850021,ACEBROFILINA,"33,30"
1004307970017,CETOCONAZOL + DIPROPIONATO DE BETAMETASONA,"21,73"
1004307980012,CETOCONAZOL + DIPROPIONATO DE BETAMETASONA,"22,24"
1004308020012,AMOXICILINA,"62,82"
1004308020055,AMOXICILINA,"89,68"
1004308140018,CEFADROXILA,"68,06"
1004308150021,FINASTERIDA,"106,16"
1004308170014,PROFLAM,"38,35"
1004308170030,PROFLAM,"60,69"
1004308170091,PROFLAM,"29,24"
1004308200010,CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA,"24,13"
1004308210016,CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA,"22,52"
1004308240012,TROK-N,"16,78"
1004308240039,TROK-N,"32,22"
1004308240047,TROK-N,"15,95"
1004308240063,TROK-N,"32,22"
1004308960015,CLORIDRATO DE AMITRIPTILINA,"17,89"
1004308980024,CLORIDRATO DE PAROXETINA (PORTARIA 344/98 LISTA C1),"61,50"
1004309020024,AZITROMICINA,"42,48"
1004309020059,AZITROMICINA,"454,59"
1004309020067,AZITROMICINA,"60,54"
1004309040068,CLORIDRATO DE NORTRIPTILINA (PORTARIA 344/98 - LISTA C1),"32,58"
1004309060018,ANGINO RUB,"16,49"
1004309060050,ANGINO RUB,"16,49"
1004309060107,ANGINO RUB,"16,49"
1004309090014,NIMESULIDA,"27,97"
1004309110041,LOSARTANA POTÁSSICA,"19,13"
1004309110082,LOSARTANA POTÁSSICA,"94,27"
1004309170042,BETATRINTA,"23,65"
1004309170050,BETATRINTA,"121,59"
1004309280018,ENANTATO DE NORETISTERONA + VALERATO DE ESTRADIOL,"23,87"
1004309280026,ENANTATO DE NORETISTERONA + VALERATO DE ESTRADIOL,"23,87"
1004309280034,ENANTATO DE NORETISTERONA + VALERATO DE ESTRADIOL,"23,87"
1004309310030,ANASTROZOL,"777,06"
1004309380063,TEICOPLANINA,"1466,48"
1004309380081,TEICOPLANINA,"2933,25"
1004309380152,TEICOPLANINA,"2933,25"
1004309400056,VENLAXIN XR,"92,97"
1004309400064,VENLAXIN XR,"131,76"
1004309400099,VENLAXIN XR,"39,68"
1004309400102,VENLAXIN XR,"39,68"
1004309400129,VENLAXIN XR,"92,97"
1004309400137,VENLAXIN XR,"157,82"
1004309400145,VENLAXIN XR,"131,76"
1004309400153,VENLAXIN XR,"213,34"
1004309400161,VENLAXIN XR,"13,24"
1004309400171,VENLAXIN XR,"30,98"
1004309400188,VENLAXIN XR,"43,91"
1004309450010,CLORIDRATO DE CICLOBENZAPRINA,"31,54"
1004309450061,CLORIDRATO DE CICLOBENZAPRINA,"35,13"
1004309450126,CLORIDRATO DE CICLOBENZAPRINA,"15,76"
1004309450177,CLORIDRATO DE CICLOBENZAPRINA,"17,56"
1004309470011,PONDERA,"27,83"
1004309470021,PONDERA,"55,70"
1004309470046,PONDERA,"56,98"
1004309470054,PONDERA,"113,97"
1004309470089,PONDERA,"227,87"
1004309480017,BUP,"44,03"
1004309480025,BUP,"121,49"
1004309480033,BUP,"234,42"
1004309510056,ATENOLOL + CLORTALIDONA,"46,34"
1004309510072,ATENOLOL + CLORTALIDONA,"30,69"
1004309520043,ESPIRONOLACTONA,"23,45"
1004309520086,ESPIRONOLACTONA,"36,87"
1004309530030,LETROZOL,"838,62"
1004309590017,AMATO,"47,18"
1004309590025,AMATO,"94,41"
1004309590033,AMATO,"190,82"
1004309590051,AMATO,"23,57"
1004309590068,AMATO,"18,93"
1004309590084,AMATO,"38,16"
1004309650028,BETES,"72,30"
1004309650060,BETES,"20,67"
1004309650117,BETES,"37,37"
1004309710047,CLONAZEPAM,"17,38"
1004309720034,TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA,"36,96"
1004309730064,TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA,"33,87"
1004309800046,TROK-G,"25,39"
1004309800054,TROK-G,"8,49"
1004309800089,TROK-G,"25,39"
1004309810017,DIUPRESS,"23,61"
1004309810033,DIUPRESS,"35,39"
1004309830026,SIBUS,"47,73"
1004309830042,SIBUS,"53,66"
1004309830069,SIBUS,"107,30"
1004309860014,ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL,"13,05"
1004309870011,DESOGESTREL + ETINILESTRADIOL,"32,21"
1004309870028,DESOGESTREL + ETINILESTRADIOL,"86,90"
1004309880015,DESOGESTREL + ETINILESTRADIOL,"25,78"
1004309880023,DESOGESTREL + ETINILESTRADIOL,"77,25"
1004309910011,CREVAGIN,"39,36"
1004309920025,CILOSTAZOL,"33,86"
1004309920033,CILOSTAZOL,"40,85"
1004309920051,CILOSTAZOL,"66,70"
1004309920068,CILOSTAZOL,"81,66"
1004309930039,LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA,"51,94"
