,nome,codigo,preco
114,JANUVIA,1002901720145,"37,43"
115,JANUVIA,1002901720171,"74,83"
116,JANUVIA,1002901720201,"74,83"
117,JANUVIA,1002901720218,"149,67"
118,JANUMET,1002901770029,"147,51"
119,JANUMET,1002901770037,"73,74"
120,JANUMET,1002901770045,"147,51"
121,JANUMET,1002901770053,"73,74"
122,JANUMET,1002901770061,"147,51"
123,JANUMET,1002901770142,"52,20"
124,JANUMET,1002901770150,"48,71"
125,JANUMET,1002901770169,"156,59"
126,JANUMET,1002901770177,"156,59"
127,JANUMET,1002901770185,"146,17"
128,FOSAMAX D,1002901800025,"99,92"
129,STEZZA,1002901860011,"27,20"
130,STEZZA,1002901860028,"95,19"
131,DESALEX D12,1002901870023,"29,39"
132,METICORTEN,1002901890024,"11,24"
133,METICORTEN,1002901890067,"15,15"
134,AFRIN,1002901900011,"7,08"
135,AFRIN,1002901900038,"12,74"
136,AFRIN,1002901900070,"8,87"
137,DESALEX,1002901910017,"36,90"
138,DESALEX,1002901910041,"29,54"
139,DESALEX,1002901910076,"42,26"
140,DESALEX,1002901910084,"57,31"
141,NITES,1002901930018,"54,95"
142,PÉROLA,1002901940013,"23,13"
143,PÉROLA,1002901940021,"59,73"
144,ZEPATIER,1002901980015,"44865,28"
145,ZERBAXA,1002902000014,"2576,21"
146,SIVEXTRO,1002902010011,"4041,56"
147,PUREGON,1002902050011,"694,37"
148,HETORI,1002902060025,"32,75"
149,HETORI,1002902060033,"65,32"
150,HETORI,1002902060041,"10,50"
151,HETORI,1002902060051,"36,76"
152,HETORI,1002902060068,"72,80"
153,AVIANT,1002902070039,"29,26"
154,AVIANT,1002902070047,"82,39"
155,AVIANT,1002902070071,"39,86"
156,AVIANT EFE,1002902080026,"29,39"
157,VIATINE,1002902090013,"17,55"
158,VIATINE,1002902090031,"52,86"
159,VIATINE,1002902090048,"20,47"
160,VIATINE,1002902090056,"61,36"
161,VIATINE,1002902090072,"19,77"
162,VIATINE,1002902090080,"59,23"
163,ELONVA,1002902100019,"983,29"
164,ELONVA,1002902100027,"1343,72"
165,IMPLANON,1002902110014,"516,63"
166,ORGALUTRAN,1002902120011,"220,34"
167,NUVARING,1002902130015,"52,63"
168,ZETIA,1002902140029,"33,76"
169,ZETIA,1002902140045,"101,39"
170,ZETIA,1002902140053,"202,78"
171,ZETSIM,1002902150083,"89,75"
172,ZETSIM,1002902150105,"41,89"
173,ZETSIM,1002902150121,"89,75"
174,ZETSIM,1002902150164,"147,40"
175,SANDRENA,1002902160011,"41,13"
176,SANDRENA,1002902160021,"22,51"
177,NASONEX®,1002902170017,"54,95"
178,NASONEX®,1002902170025,"36,14"
179,CERAZETTE,1002902180012,"26,51"
180,CERAZETTE,1002902180020,"79,55"
181,GRACIAL,1002902190026,"26,55"
182,MERCILON,1002902200013,"28,11"
183,MERCILON,1002902200021,"84,32"
184,MERCILON CONTI,1002902210019,"27,76"
185,MERCILON CONTI,1002902210027,"78,84"
186,LIVIAL,1002902220014,"54,58"
187,LIVIAL,1002902220022,"155,95"
188,MICRODIOL,1002902230011,"22,48"
189,REMERON,1002902240015,"17,18"
190,REMERON,1002902240023,"85,97"
191,REMERON,1002902240031,"34,39"
192,REMERON,1002902240041,"171,98"
193,REMERON,1002902240058,"244,51"
194,ANCORON,1003300010057,"20,14"
195,ANCORON,1003300010133,"14,06"
196,ANCORON,1003300010141,"28,16"
197,ANCORON,1003300010151,"28,12"
198,ANCORON,1003300010168,"56,33"
199,ANCORON,1003300010176,"42,19"
200,ANCORON,1003300010184,"84,49"
201,GESTINOL,1003300270046,"29,73"
202,GESTINOL,1003300270070,"79,25"
203,PLAMET,1003300280033,"23,38"
204,PLAMET,1003300280041,"267,97"
205,PLAMET,1003300280122,"34,06"
206,PLAMET,1003300280130,"22,41"
207,SUMAX,1003300290033,"36,39"
208,SUMAX,1003300290144,"18,41"
209,SUMAX,1003300290179,"109,16"
210,SUMAX,1003300290187,"55,24"
211,ADENOCARD,1003300380024,"37,70"
212,ADENOCARD,1003300380038,"664,09"
213,ANSITEC,1003300420013,"17,75"
214,ANSITEC,1003300420021,"31,84"
215,ANSITEC,1003300420031,"53,25"
216,ANSITEC,1003300420048,"79,88"
217,ANSITEC,1003300420056,"95,53"
218,ANSITEC,1003300420064,"143,29"
219,ANSITEC,1003300420072,"7,10"
220,CALTREN,1003300450052,"37,14"
221,CALTREN,1003300450060,"70,28"
222,VEROTINA,1003300540027,"61,31"
223,VEROTINA,1003300540061,"40,84"
224,SENSITRAM,1003300580061,"96,81"
225,CARDILOL,1003300660014,"34,48"
226,CARDILOL,1003300660065,"21,21"
227,CARDILOL,1003300660081,"21,21"
228,CARDILOL,1003300660103,"21,21"
229,CARDILOL,1003300660189,"40,02"
230,CARDILOL,1003300660197,"40,02"
231,CARDILOL,1003300660200,"52,11"
232,SELIMAX,1003300670079,"37,02"
233,DIMINUT,1003300840012,"22,00"
234,DIMINUT,1003300840039,"58,65"
235,NAPRIX,1003300860080,"38,15"
236,NAPRIX,1003300860102,"38,15"
237,NAPRIX,1003300860129,"38,15"
238,NAPRIX,1003300860153,"114,47"
239,NAPRIX,1003300860171,"114,47"
240,NAPRIX,1003300860196,"114,47"
241,LIBIAM,1003300870019,"47,99"
242,LIBIAM,1003300870043,"143,98"
243,CEBRILIN,1003300900023,"106,42"
244,CEBRILIN,1003300900031,"96,64"
245,NAPRIX A,1003300960204,"34,42"
246,NAPRIX A,1003300960239,"34,42"
247,NAPRIX A,1003300960263,"34,42"
248,NAPRIX A,1003300960271,"34,42"
249,MINIAN,1003300980019,"19,99"
250,MINIAN,1003300980027,"53,32"
251,CEBRALAT,1003301010021,"16,85"
252,CEBRALAT,1003301010031,"20,25"
253,CEBRALAT,1003301010048,"16,62"
254,CEBRALAT,1003301010056,"33,24"
255,CEBRALAT,1003301010064,"40,64"
256,CEBRALAT,1003301010072,"53,92"
257,CEBRALAT,1003301010080,"115,74"
258,SIBLIMA,1003301020019,"19,99"
259,SIBLIMA,1003301020051,"53,36"
260,NATIFA,1003301030014,"32,66"
261,PLURAIR,1003301040011,"23,09"
262,PLURAIR,1003301040028,"36,39"
263,NATIFA PRO,1003301060010,"42,62"
264,PROCIMAX,1003301070016,"20,18"
265,PROCIMAX,1003301070032,"43,32"
266,PROCIMAX,1003301070067,"83,08"
267,ZETRON,1003301110018,"80,10"
268,ZETRON,1003301110077,"30,12"
269,ZETRON,1003301110085,"90,36"
270,ZETRON,1003301110093,"180,71"
271,ZETRON,1003301110115,"228,92"
272,ZETRON,1003301110123,"457,85"
273,TOPISON,1003301140022,"36,49"
274,TOPISON,1003301140030,"36,49"
275,TOPISON,1003301140049,"36,49"
276,TOPISON,1003301140057,"36,49"
277,TOPISON,1003301140065,"18,22"
278,TOPISON,1003301140103,"255,36"
279,ONTAX,1003301150011,"692,29"
280,ONTAX,1003301150052,"2179,15"
281,ONTAX,1003301150060,"3188,39"
282,ONTAX,1003301150079,"692,30"
283,ONTAX,1003301150087,"2179,15"
284,ONTAX,1003301150095,"3188,39"
285,ONTAX,1003301150109,"6608,02"
286,DOCELIBBS,1003301210012,"1069,34"
287,DOCELIBBS,1003301210020,"3844,90"
288,DOCELIBBS,1003301210039,"1015,28"
289,DOCELIBBS,1003301210047,"4061,15"
290,DOCELIBBS,1003301210055,"6091,73"
291,ELANI,1003301240019,"41,58"
292,ELANI,1003301240027,"110,70"
293,POZATO UNI,1003301250014,"17,29"
294,MAXIDRATE,1003301260028,"17,72"
295,MAXIDRATE,1003301260044,"23,64"
296,MAXIDRATE,1003301260052,"7,89"
297,MAXIDRATE,1003301260060,"3,94"
298,CEBRILIN,1003301270015,"48,12"
299,LIBIAM,1003301280010,"30,34"
300,LIBIAM,1003301280029,"91,03"
301,FAULBLASTINA,1003301300011,"319,83"
302,FAULBLASTINA,1003301300021,"319,83"
303,MUVINLAX,1003301310017,"23,23"
304,MUVINLAX,1003301310076,"11,61"
305,FAULDCARBO,1003301330042,"288,66"
306,FAULDCARBO,1003301330050,"583,13"
307,FAULDCARBO,1003301330069,"1510,91"
308,FAULDOXO,1003301340013,"81,42"
309,FAULDOXO,1003301340021,"342,09"
310,FAULDVINCRI,1003301350043,"194,41"
311,FAULDACAR,1003301360022,"160,06"
312,FAULDACAR,1003301360030,"472,78"
313,FAULDMETRO,1003301370028,"269,36"
314,FAULDMETRO,1003301370036,"182,57"
315,FAULDMETRO,1003301370044,"538,77"
316,FAULDMETRO,1003301370052,"2707,35"
317,FAULDCITA,1003301380023,"735,84"
318,FAULDCITA,1003301380031,"121,81"
319,FAULDFLUOR,1003301390029,"119,96"
320,FAULDFLUOR,1003301390045,"117,60"
321,FAULDCISPLA,1003301400016,"56,98"
322,FAULDCISPLA,1003301400024,"266,63"
323,FAULDCISPLA,1003301400032,"516,21"
324,FAULDPAMI,1003301410089,"1003,07"
325,FAULDLEUCO,1003301420017,"96,56"
326,FAULDLEUCO,1003301420025,"517,42"
327,FAULDLEUCO,1003301420051,"96,56"
328,FAULDLEUCO,1003301420068,"517,42"
329,ELANI CICLO,1003301440018,"31,17"
330,ELANI CICLO,1003301440026,"82,96"
331,STAVIGILE,1003301450021,"149,15"
332,STAVIGILE,1003301450031,"24,84"
333,STAVIGILE,1003301450048,"74,57"
334,GENLIBBS,1003301460019,"169,42"
335,GENLIBBS,1003301460027,"843,31"
336,OXALIBBS,1003301490031,"1978,37"
337,OXALIBBS,1003301490041,"3956,90"
338,FLUDALIBBS,1003301500029,"3802,13"
339,ANASTROLIBBS,1003301530025,"607,08"
340,IUMI,1003301540012,"32,97"
341,IUMI,1003301540020,"87,73"
342,IUMI,1003301540039,"39,32"
343,IUMI,1003301540047,"78,66"
344,IUMI,1003301540055,"117,98"
345,IUMI,1003301540063,"157,30"
346,TEGAN,1003301550018,"107,40"
347,RECONTER,1003301560013,"25,22"
348,RECONTER,1003301560021,"65,02"
349,RECONTER,1003301560031,"109,87"
350,RECONTER,1003301560056,"24,37"
351,RECONTER,1003301560064,"73,14"
352,RECONTER,1003301560072,"49,40"
353,RECONTER,1003301560080,"98,83"
354,RECONTER,1003301560099,"98,83"
355,RECONTER,1003301560102,"219,77"
356,RECONTER,1003301560110,"146,24"
357,RECONTER,1003301560129,"49,40"
358,RECONTER,1003301560145,"98,83"
359,RECONTER,1003301560153,"54,94"
360,ZOLIBBS,1003301570019,"1251,86"
361,ZOLIBBS,1003301570027,"1251,86"
362,ÉGIDE,1003301580022,"39,05"
363,ÉGIDE,1003301580049,"77,54"
364,ÉGIDE,1003301580065,"163,25"
365,ÉGIDE,1003301580073,"6,50"
366,ÉGIDE,1003301580081,"13,32"
367,ZIDER,1003301590028,"58,01"
368,ZIDER,1003301590036,"116,10"
369,ZIDER,1003301590044,"28,70"
370,ZIDER,1003301590052,"131,90"
371,TARFIC,1003301600015,"848,57"
372,TARFIC,1003301600023,"1911,16"
373,TARFIC,1003301600031,"48,75"
374,TARFIC,1003301600041,"129,47"
375,TARFIC,1003301600058,"45,78"
376,TARFIC,1003301600066,"123,65"
377,ANCORON,1003301620016,"39,27"
378,SUMAX,1003301630011,"18,41"
379,SUMAX,1003301630021,"37,74"
380,SUMAX,1003301630038,"37,12"
381,SUMAX,1003301630046,"26,05"
382,STANGLIT,1003301650012,"23,15"
383,STANGLIT,1003301650020,"46,30"
384,STANGLIT,1003301650039,"30,89"
385,STANGLIT,1003301650047,"61,76"
386,STANGLIT,1003301650055,"108,14"
387,STANGLIT,1003301650063,"92,59"
388,STANGLIT,1003301650071,"123,52"
389,STANGLIT,1003301650081,"216,29"
390,ATRED,1003301660018,"1306,43"
391,ATRED,1003301660026,"6532,22"
392,VELIJA,1003301670013,"44,63"
393,VELIJA,1003301670021,"89,21"
394,VELIJA,1003301670031,"14,86"
395,VELIJA,1003301670048,"178,43"
396,VELIJA,1003301670056,"89,25"
397,PLENANCE,1003301700011,"45,13"
398,PLENANCE,1003301700044,"75,20"
399,PLENANCE,1003301700079,"16,63"
400,PLENANCE,1003301700095,"98,53"
401,PLENANCE,1003301700109,"224,62"
402,PLENANCE,1003301700117,"7,10"
403,PLENANCE,1003301700125,"21,30"
404,PLENANCE,1003301700133,"42,62"
405,PLENANCE,1003301700141,"63,94"
406,NACTALI,1003301710015,"21,98"
407,NACTALI,1003301710023,"60,02"
408,FINALOP,1003301740021,"39,89"
409,SUMAXPRO,1003301760012,"19,85"
410,SUMAXPRO,1003301760020,"32,35"
411,CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA,1003301770018,"58,38"
412,CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA,1003301770026,"116,79"
413,CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA,1003301770034,"58,38"
414,CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA,1003301770042,"116,79"
415,NAPRIX D,1003301780025,"41,02"
416,NAPRIX D,1003301780048,"33,63"
417,NAPRIX D,1003301780056,"33,63"
418,BROMIDRATO DE GALANTAMINA,1003301790019,"72,82"
419,BROMIDRATO DE GALANTAMINA,1003301790027,"218,47"
420,BROMIDRATO DE GALANTAMINA,1003301790035,"251,43"
421,BROMIDRATO DE GALANTAMINA,1003301790043,"270,36"
422,BROMIDRATO DE GALANTAMINA,1003301790051,"45,89"
423,BROMIDRATO DE GALANTAMINA,1003301790061,"393,35"
424,BROMIDRATO DE GALANTAMINA,1003301790078,"344,49"
425,BROMIDRATO DE GALANTAMINA,1003301790086,"370,42"
426,COGLIVE,1003301810011,"35,03"
427,COGLIVE,1003301810028,"105,17"
428,COGLIVE,1003301810036,"116,86"
429,COGLIVE,1003301810044,"128,53"
430,COGLIVE,1003301810052,"24,53"
431,COGLIVE,1003301810060,"210,35"
432,COGLIVE,1003301810079,"233,69"
433,COGLIVE,1003301810087,"257,08"
434,VENZER HCT,1003301820015,"41,57"
435,VENZER HCT,1003301820023,"116,79"
436,VENZER HCT,1003301820031,"41,57"
437,VENZER HCT,1003301820041,"116,79"
438,VATIS,1003301840016,"13,89"
439,VATIS,1003301840024,"19,65"
440,VATIS,1003301840032,"39,34"
441,VATIS,1003301840040,"58,99"
442,VENZER,1003301970017,"39,01"
443,VENZER,1003301970033,"39,01"
444,VENZER,1003301970051,"42,20"
445,OSYS,1003301980012,"1026,62"
446,OSYS,1003301980020,"1539,94"
447,OSYS,1003301980039,"2053,25"
448,ZEDORA,1003301990018,"3490,72"
449,ZEDORA,1003301990026,"6981,47"
450,ZEDORA,1003301990034,"10472,21"
451,ZEDORA,1003301990042,"10239,49"
452,ZEDORA,1003301990050,"13962,94"
453,POEMMY,1003302010017,"2977,23"
454,POEMMY,1003302010025,"5954,48"
455,VERAZO,1003302020012,"836,24"
456,VERAZO,1003302020020,"1254,37"
457,VERAZO,1003302020039,"2926,86"
458,ZOSTIDE,1003302030018,"8830,83"
459,TEORO,1003302040013,"1827,32"
460,VIVAXXIA,1003302050019,"1384,34"
461,VIVAXXIA,1003302050027,"6919,55"
462,VIVAXXIA,1003302050035,"2768,70"
463,EBATZ,1003302060014,"24,66"
464,EBATZ,1003302060022,"74,01"
465,EBATZ,1003302060030,"146,48"
466,EBATZ,1003302060049,"219,72"
467,EBATZ,1003302060057,"44,74"
468,EBATZ,1003302060065,"134,20"
469,EBATZ,1003302060073,"268,16"
470,EBATZ,1003302060081,"402,25"
471,VATIS,1003302070011,"19,66"
472,VATIS,1003302070028,"39,32"
473,VATIS,1003302070036,"78,63"
474,VATIS,1003302070044,"117,96"
475,VATIS,1003302070052,"13,10"
476,QUENZOR,1003302080015,"10,26"
477,QUENZOR,1003302080023,"15,37"
478,QUENZOR,1003302080031,"30,77"
479,QUENZOR,1003302080041,"46,14"
480,QUENZOR,1003302080058,"20,50"
481,QUENZOR,1003302080066,"30,77"
482,QUENZOR,1003302080074,"61,52"
483,QUENZOR,1003302080082,"92,30"
484,QUENZOR,1003302080090,"33,11"
485,QUENZOR,1003302080104,"49,68"
486,QUENZOR,1003302080112,"99,34"
487,QUENZOR,1003302080120,"149,02"
488,IZIZ,1003302090010,"27,20"
489,IZIZ,1003302090029,"83,55"
490,PLENANCE EZE,1003302100016,"77,72"
491,PLENANCE EZE,1003302100032,"230,51"
492,PLENANCE EZE,1003302100040,"79,06"
493,PLENANCE EZE,1003302100067,"231,84"
494,PLENANCE EZE,1003302100075,"81,73"
495,PLENANCE EZE,1003302100091,"234,51"
496,NATIFA PRO UBD,1003302110011,"42,62"
497,NATIFA PRO UBD,1003302110021,"127,85"
498,CECI,1003302120017,"62,38"
499,CECI,1003302120025,"187,13"
500,GLINK,1003302130012,"144,71"
501,GLINK,1003302130020,"289,41"
502,GLINK,1003302130039,"434,11"
503,ELOVIE,1003302140018,"1388,39"
504,ELOVIE,1003302140026,"5482,18"
505,VOEXTOR,1003302150013,"65,37"
506,VOEXTOR,1003302150021,"130,75"
507,VOEXTOR,1003302150031,"130,79"
508,VOEXTOR,1003302150048,"261,57"
509,VOEXTOR,1003302150056,"523,14"
510,ZIDER,1003302160019,"57,89"
511,ZIDER,1003302160027,"115,78"
512,LAKOS,1003302170014,"43,37"
513,LAKOS,1003302170022,"86,73"
514,LAKOS,1003302170030,"173,47"
515,LAKOS,1003302170049,"173,64"
516,LAKOS,1003302170057,"347,29"
517,LAKOS,1003302170065,"694,59"
518,LAKOS,1003302170073,"260,49"
519,LAKOS,1003302170081,"520,98"
520,LAKOS,1003302170091,"1041,96"
521,LAKOS,1003302170103,"339,05"
522,LAKOS,1003302170111,"678,11"
523,LAKOS,1003302170121,"1140,78"
524,GLINK MET,1003302180028,"142,80"
525,GLINK MET,1003302180036,"47,60"
526,GLINK MET,1003302180044,"142,80"
527,GLINK MET,1003302180052,"142,80"
528,RECONTER ODT,1003302190015,"18,12"
529,RECONTER ODT,1003302190023,"54,36"
530,RECONTER ODT,1003302190031,"108,74"
531,RECONTER ODT,1003302190041,"24,38"
532,RECONTER ODT,1003302190058,"73,13"
533,RECONTER ODT,1003302190066,"146,25"
534,RECONTER ODT,1003302190074,"109,88"
535,RECONTER ODT,1003302190082,"219,76"
536,PETIVIT -BC,1003800380010,"20,32"
537,PETIVIT -BC,1003800380029,"12,64"
538,TYFLEN,1003800390016,"5,08"
539,TYFLEN,1003800390024,"6,29"
540,TYFLEN,1003800390032,"43,89"
541,TYFLEN,1003800390059,"57,17"
542,TYFLEN,1003800390075,"14,09"
543,TYFLEN,1003800390083,"10,64"
544,TYFLEN,1003800390091,"5,56"
545,CONAZOL,1003800400021,"9,50"
546,CONAZOL,1003800400038,"23,13"
547,SALICETIL,1003800430034,"52,96"
548,SALICETIL,1003800430042,"23,00"
549,AMBROL,1003800480074,"15,25"
550,AMBROL,1003800480082,"10,44"
551,GRIPALCÊ,1003800690036,"115,45"
552,GRIPALCÊ,1003800690052,"11,55"
553,GRIPALCÊ,1003800690060,"5,99"
554,GRIPALCÊ,1003800690087,"59,88"
555,CLORIDRATO DE CIPROFLOXACINO,1003800940016,"24,36"
556,CLORIDRATO DE CIPROFLOXACINO,1003800940024,"168,05"
557,CIFLOXATIL,1003800950011,"27,61"
558,SECTIL,1003800960017,"13,65"
559,SECTIL,1003800960025,"26,78"
560,SECNIDAZOL,1003800970012,"10,74"
561,SECNIDAZOL,1003800970020,"18,25"
562,CAPTOPRIL,1003800980018,"8,78"
563,CAPTOPRIL,1003800980026,"17,50"
564,AMOXICILINA + CLAVULANATO DE POTÁSSIO,1003801010047,"89,34"
565,AMOXICILINA + CLAVULANATO DE POTÁSSIO,1003801010055,"130,49"
566,AMOXICILINA + CLAVULANATO DE POTÁSSIO,1003801020018,"56,38"
567,ZILARICINA,1003801030013,"16,65"
568,ZILARICINA,1003801030021,"24,99"
569,ZILARICINA,1003801030031,"49,97"
570,HEVELAIR,1003801040019,"26,37"
571,HEVELAIR,1003801040035,"26,37"
572,PHITOSS,1003801050014,"16,97"
573,PHITOSS,1003801050022,"33,91"
574,PHITOSS,1003801050030,"14,98"
575,DEFULL,1003801060011,"16,77"
576,DEFULL,1003801060028,"29,10"
577,DEFULL,1003801060036,"54,11"
578,DEFULL,1003801060044,"81,18"
579,DEFULL,1003801060052,"182,62"
580,DEFULL,1003801060060,"11,70"
581,DEFULL,1003801060079,"23,40"
582,DEFULL,1003801060087,"29,26"
583,DEFULL,1003801060095,"31,73"
584,DEFULL,1003801060109,"55,29"
585,DEFULL,1003801060117,"16,71"
586,DEFULL,1003801060125,"33,44"
587,DEFULL,1003801060133,"41,79"
588,DEFULL,1003801060141,"49,48"
589,DEFULL,1003801060151,"86,43"
590,DEFULL,1003801060168,"54,11"
591,DEFULL,1003801060176,"91,98"
592,DEFULL,1003801060184,"97,72"
593,DEFULL,1003801060192,"105,12"
594,DEFULL,1003801060206,"184,70"
595,GINKGO BILOBA BRASTERAPICA,1003801070015,"27,21"
596,GINKGO BILOBA BRASTERAPICA,1003801070023,"34,69"
597,GRIPALCÊ UNO,1003801100054,"16,68"
598,GRIPALCÊ UNO,1003801100062,"12,59"
599,GRIPALCÊ UNO,1003801100070,"9,09"
600,PARACETAMOL,1003801110051,"14,01"
601,PARACETAMOL,1003801110068,"10,00"
602,PARACETAMOL,1003801110076,"9,01"
603,CETOCONAZOL-MICRONIZADO,1003801120012,"6,92"
604,SOLUÇÃO GLICOFISIOLÓGICA,1004100110175,"4,06"
605,SOLUÇÃO GLICOFISIOLÓGICA,1004100110183,"5,85"
606,SOLUÇÃO GLICOFISIOLÓGICA,1004100110191,"10,89"
607,HISOCEL,1004100170100,"28,84"
608,FRUTOSE 5%,1004100280038,"11,32"
609,LIPOVENOS,1004100480040,"329,39"
610,LIPOVENOS,1004100480093,"153,85"
611,LIPOVENOS,1004100480107,"287,86"
612,PURISOLE SM,1004100520098,"18,88"
613,CLORETO DE SÓDIO,1004100980080,"5,41"
614,CLORETO DE SÓDIO,1004100980099,"4,28"
615,CLORETO DE SÓDIO,1004100980102,"5,13"
616,CLORETO DE SÓDIO,1004100980110,"7,02"
617,CLORETO DE SÓDIO,1004100980129,"4,97"
618,CLORETO DE SÓDIO,1004100980153,"4,97"
619,VOLUVEN 6%,1004100990061,"104,50"
620,VOLUVEN 6%,1004100990124,"104,50"
621,ÁGUA PARA INJEÇÃO,1004101000136,"5,75"
622,ÁGUA PARA INJEÇÃO,1004101000144,"5,75"
623,ÁGUA PARA INJEÇÃO,1004101000152,"6,41"
624,ÁGUA PARA INJEÇÃO,1004101000160,"8,93"
625,SOLUÇÃO RINGER COM LACTATO,1004101030035,"5,83"
626,SOLUÇÃO RINGER COM LACTATO,1004101030043,"8,77"
627,GLICOSE,1004101070118,"4,71"
628,GLICOSE,1004101070126,"5,02"
629,GLICOSE,1004101070134,"4,43"
630,GLICOSE,1004101070142,"7,68"
631,GLICOSE,1004101070150,"4,93"
632,GLICOSE,1004101070169,"7,09"
633,GLICOSE,1004101070177,"10,08"
634,GLICOSE,1004101070185,"5,61"
635,GLICOSE,1004101070215,"8,48"
636,SMOFLIPID 20%,1004101120018,"194,63"
637,SMOFLIPID 20%,1004101120034,"354,61"
638,RINGER,1004101150049,"5,52"
639,RINGER,1004101150057,"5,23"
640,RINGER,1004101150073,"157,42"
641,SOLUÇÃO P/ DIÁLISE PERITONEAL,1004101180037,"8,27"
642,MANITOL 20%,1004101220020,"11,53"
643,MANITOL 20%,1004101220039,"11,00"
644,ENDONIDAZOL,1004101290029,"9,06"
645,BICARBONATO DE SÓDIO,1004101300024,"50,07"
646,BICARBONATO DE SÓDIO,1004101300040,"485,23"
647,NEPHROTECT,1004101310011,"76,66"
648,NEPHROTECT,1004101310021,"742,72"
649,NEPHROTECT,1004101310038,"136,80"
650,NEPHROTECT,1004101310046,"1325,40"
651,AMINOSTERIL N-HEPA 8%,1004101330020,"82,35"
652,AMINOSTERIL N-HEPA 8%,1004101330039,"823,72"
653,GLICONATO DE CÁLCIO,1004101360035,"141,36"
654,RABINEFIL,1004101440012,"66,64"
655,SMOFKABIVEN LIVRE DE ELETRÓLITOS,1004101490011,"378,53"
656,SMOFKABIVEN LIVRE DE ELETRÓLITOS,1004101490028,"561,45"
657,SMOFKABIVEN LIVRE DE ELETRÓLITOS,1004101490036,"750,90"
658,SMOFKABIVEN LIVRE DE ELETRÓLITOS,1004101490044,"940,33"
659,SMOFKABIVEN,1004101500015,"561,45"
660,SMOFKABIVEN,1004101500023,"750,90"
661,SMOFKABIVEN,1004101500031,"940,33"
662,SMOFKABIVEN,1004101500041,"378,53"
663,SMOFKABIVEN,1004101500058,"552,77"
664,SMOFKABIVEN,1004101500066,"726,85"
665,SMOFKABIVEN,1004101500074,"460,38"
666,SMOFKABIVEN,1004101500155,"311,20"
667,SMOFKABIVEN,1004101500163,"1867,26"
668,SMOFKABIVEN,1004101500171,"622,42"
669,SMOFKABIVEN,1004101500181,"2489,70"
670,SMOFKABIVEN,1004101500198,"933,62"
671,SMOFKABIVEN,1004101500201,"3734,54"
672,SMOFKABIVEN,1004101500211,"1245,45"
673,SMOFKABIVEN,1004101500228,"4981,85"
674,SMOFKABIVEN,1004101500236,"1556,67"
675,SMOFKABIVEN,1004101500244,"4670,03"
676,METRONIDAZOL,1004101510010,"10,64"
677,CIPROFLOXACINO,1004101530100,"73,51"
678,CIPROFLOXACINO,1004101530119,"1765,04"
679,CIPROFLOXACINO,1004101530127,"3677,18"
680,CIPROFLOXACINO,1004101530135,"5883,52"
681,CIPROFLOXACINO,1004101530143,"73,51"
682,CIPROFLOXACINO,1004101530151,"125,30"
683,CIPROFLOXACINO,1004101530161,"5883,52"
684,CIPROFLOXACINO,1004101530178,"6015,24"
685,PACLITAXEL,1004101550012,"490,71"
